date,interest_rate,inflation,gdp,liquidity
1968-01-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1968-02-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1968-03-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-04-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-05-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-06-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-07-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-08-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-09-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-10-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-11-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1968-12-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-01-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-02-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-03-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-04-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-05-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-06-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-07-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-08-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-09-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-10-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-11-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1969-12-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-01-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-02-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-03-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-04-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-05-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-06-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-07-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-08-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-09-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-10-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-11-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1970-12-01,5.0,4.0094359104519,468395521654.458,54.6451291831448
1971-01-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-02-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-03-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-04-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-05-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-06-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-07-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-08-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-09-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-10-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-11-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1971-12-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-01-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-02-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-03-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-04-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-05-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-06-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-07-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-08-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-09-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-10-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-11-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1972-12-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1973-01-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1973-02-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1973-03-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1973-04-01,6.0,4.0094359104519,468395521654.458,54.6451291831448
1973-05-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-06-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-07-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-08-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-09-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-10-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-11-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1973-12-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-01-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-02-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-03-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-04-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-05-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-06-01,7.0,4.0094359104519,468395521654.458,54.6451291831448
1974-07-01,9.0,4.0094359104519,468395521654.458,54.6451291831448
1974-08-01,9.0,4.0094359104519,468395521654.458,54.6451291831448
1974-09-01,9.0,4.0094359104519,468395521654.458,54.6451291831448
