date,interest_rate,inflation,gdp,liquidity
1990-06-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1990-07-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1990-08-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1990-09-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1990-10-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1990-11-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1990-12-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1991-01-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1991-02-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1991-03-01,7.92,0.347811226864587,1211331651866.09,135.580416035304
1991-04-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-05-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-06-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-07-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-08-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-09-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-10-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-11-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1991-12-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-01-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-02-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-03-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-04-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-05-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-06-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-07-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-08-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-09-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-10-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
