date,interest_rate,inflation,gdp,liquidity
1963-10-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1963-11-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1963-12-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-01-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-02-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-03-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-04-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-05-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-06-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-07-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-08-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1964-09-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
